date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:59	113/113	---MCZ	200	added ('OK')	text/plain	etag:%2251950-1722386544;gz%22	https://cineflickcard.com/robots.txt		(from )
20:14:59	139596/139596	---MCZ	200	added ('OK')	text/html	etag:%2245684-1722033722;gz%22	https://cineflickcard.com/	C:/Meus%20Sites/cineflix/cineflickcard.com/index.html	(from )
20:15:00	543658/543658	---M-Z	200	added ('OK')	text/css	etag:%2284baa-669e44bc-7343d5914e4f299b;gz%22	https://cineflickcard.com/wp-content/litespeed/css/d4c4c26d0c479404b9af46ff00e9d38b.css?ver=74fc7	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-content/litespeed/css/d4c4c26d0c479404b9af46ff00e9d38b033d.css	(from https://cineflickcard.com/)
20:15:00	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215601-65f4dc30-7fe69a31a781ffad;gz%22	https://cineflickcard.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://cineflickcard.com/)
20:15:01	1781/1781	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d4dd05c8983f859fc85f8f722ea73381%22	https://cineflickcard.com/feed/	C:/Meus%20Sites/cineflix/cineflickcard.com/feed/index.html	(from https://cineflickcard.com/)
20:15:01	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:%223509-66ac12ff-e17a717fe9dd4d80;gz%22	https://cineflickcard.com/wp-content/litespeed/js/a3c64f713661c2284b2d8627fd5eaee9.js?ver=8f484	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-content/litespeed/js/a3c64f713661c2284b2d8627fd5eaee9c495.js	(from https://cineflickcard.com/)
20:15:01	727/727	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d4dd05c8983f859fc85f8f722ea73381%22	https://cineflickcard.com/comments/feed/	C:/Meus%20Sites/cineflix/cineflickcard.com/comments/feed/index.html	(from https://cineflickcard.com/)
20:15:01	15072/15072	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ae0-66abf716-20cf6cdf90bea588;gz%22	https://cineflickcard.com/wp-content/litespeed/js/4774bebd44b247686b8c93de8402e048.js?ver=06c08	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-content/litespeed/js/4774bebd44b247686b8c93de8402e0485324.js	(from https://cineflickcard.com/)
20:15:01	147120/147120	---MCZ	200	added ('OK')	application/json	etag:%2245975-1722041208;gz%22	https://cineflickcard.com/wp-json/wp/v2/pages/1040	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-json/wp/v2/pages/1040.json	(from https://cineflickcard.com/)
20:15:01	216432/216432	---MCZ	200	added ('OK')	application/json	etag:%2245974-1722041208;gz%22	https://cineflickcard.com/wp-json/	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-json/index.html	(from https://cineflickcard.com/)
20:15:02	816/816	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Aug%202024%2023:15:01%20GMT	https://cineflickcard.com/xmlrpc.php?rsd	C:/Meus%20Sites/cineflix/cineflickcard.com/xmlrpc0db0.php	(from https://cineflickcard.com/)
20:15:02	2059/2059	---MCZ	200	added ('OK')	application/json	etag:%2246252-1722057474;gz%22	https://cineflickcard.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcineflickcard.com%2F	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-json/oembed/1.0/embedee63.json	(from https://cineflickcard.com/)
20:15:02	2221/2221	---MCZ	200	added ('OK')	text/xml	etag:%2246473-1722084538;gz%22	https://cineflickcard.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcineflickcard.com%2F&format=xml	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-json/oembed/1.0/embed6d90	(from https://cineflickcard.com/)
20:15:02	18721/18721	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Aug%202024%2023:15:02%20GMT	https://cineflickcard.com/wp-content/uploads/2024/03/128x128.png	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-content/uploads/2024/03/128x128.png	(from https://cineflickcard.com/)
20:15:03	14425/14425	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Aug%202024%2023:15:02%20GMT	https://cineflickcard.com/wp-content/uploads/2024/03/LOGO.png	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-content/uploads/2024/03/LOGO.png	(from https://cineflickcard.com/)
20:15:03	8004/8004	---M--	200	added ('OK')	image/webp	etag:%221f44-66743bd5-955f17b0fa0416c3;;;%22	https://cineflickcard.com/wp-content/uploads/2024/06/C1-1.webp	C:/Meus%20Sites/cineflix/cineflickcard.com/wp-content/uploads/2024/06/C1-1.webp	(from https://cineflickcard.com/)
